date,symbol,source,adjustment,open,high,low,close,volume,amount
2024-01-02,000001,AKShare/东方财富,none,9.39,9.42,9.21,9.21,1158366,1075742252.45
2024-01-03,000001,AKShare/东方财富,none,9.19,9.22,9.15,9.2,733610,673673613.54
2024-01-04,000001,AKShare/东方财富,none,9.19,9.19,9.08,9.11,864194,787470082.37
2024-01-05,000001,AKShare/东方财富,none,9.1,9.44,9.07,9.27,1991622,1852659692.14
2024-01-08,000001,AKShare/东方财富,none,9.23,9.3,9.11,9.15,1121156,1029006548.73
2024-01-09,000001,AKShare/东方财富,none,9.16,9.19,9.09,9.18,766194,700375720.2
2024-01-10,000001,AKShare/东方财富,none,9.16,9.19,9.09,9.09,858621,783771150.01
2024-01-11,000001,AKShare/东方财富,none,9.08,9.22,9.03,9.17,934686,853890237.29
2024-01-12,000001,AKShare/东方财富,none,9.13,9.27,9.11,9.19,772582,711018266.07
2024-01-15,000001,AKShare/东方财富,none,9.16,9.29,9.13,9.21,745133,685950951.45
2024-01-16,000001,AKShare/东方财富,none,9.19,9.35,9.16,9.34,1438313,1334465408.53
2024-01-17,000001,AKShare/东方财富,none,9.33,9.39,9.23,9.23,1482296,1380725065.03
2024-01-18,000001,AKShare/东方财富,none,9.21,9.24,9.0,9.2,1755132,1597853726.63
2024-01-19,000001,AKShare/东方财富,none,9.16,9.2,9.1,9.17,963981,881865023.89
2024-01-22,000001,AKShare/东方财富,none,9.16,9.26,9.04,9.1,1580320,1449858241.68
2024-01-23,000001,AKShare/东方财富,none,9.05,9.18,8.96,9.16,1135545,1030898421.04
2024-01-24,000001,AKShare/东方财富,none,9.23,9.34,9.07,9.33,1759123,1620099272.06
2024-01-25,000001,AKShare/东方财富,none,9.33,9.54,9.27,9.5,2162514,2037648413.07
2024-01-26,000001,AKShare/东方财富,none,9.47,9.67,9.44,9.62,2272287,2172799799.01
2024-01-29,000001,AKShare/东方财富,none,9.69,9.88,9.58,9.7,2376252,2312173346.33
2024-01-30,000001,AKShare/东方财富,none,9.61,9.7,9.49,9.5,1579122,1515156603.96
2024-01-31,000001,AKShare/东方财富,none,9.46,9.56,9.38,9.46,1357217,1286857396.81
2024-02-01,000001,AKShare/东方财富,none,9.41,9.48,9.34,9.41,1055260,993481907.01
2024-02-02,000001,AKShare/东方财富,none,9.42,9.47,9.07,9.27,1634214,1520605694.69
2024-02-05,000001,AKShare/东方财富,none,9.19,9.43,9.11,9.38,1803592,1674566499.46
2024-02-06,000001,AKShare/东方财富,none,9.3,9.68,9.29,9.68,1995410,1900324218.2
2024-02-07,000001,AKShare/东方财富,none,9.62,9.67,9.48,9.61,2062015,1975435102.12
2024-02-08,000001,AKShare/东方财富,none,9.58,9.67,9.52,9.67,1656814,1593505690.13
2024-02-19,000001,AKShare/东方财富,none,9.76,9.81,9.65,9.81,1605243,1564088444.93
2024-02-20,000001,AKShare/东方财富,none,9.79,9.84,9.73,9.82,1123564,1098987813.26
2024-02-21,000001,AKShare/东方财富,none,9.78,10.8,9.77,10.8,5055285,5295259396.81
2024-02-22,000001,AKShare/东方财富,none,10.65,10.91,10.62,10.9,4922325,5307736374.06
2024-02-23,000001,AKShare/东方财富,none,10.88,11.24,10.84,10.85,3567480,3917316281.52
2024-02-26,000001,AKShare/东方财富,none,10.78,10.88,10.5,10.53,2862609,3048205024.78
2024-02-27,000001,AKShare/东方财富,none,10.49,10.6,10.46,10.5,1981905,2083027074.06
2024-02-28,000001,AKShare/东方财富,none,10.51,10.7,10.4,10.49,3082693,3253340358.41
2024-02-29,000001,AKShare/东方财富,none,10.42,10.59,10.41,10.59,1845344,1936020982.56
2024-03-01,000001,AKShare/东方财富,none,10.59,10.6,10.43,10.49,1828103,1917689306.77
2024-03-04,000001,AKShare/东方财富,none,10.45,10.5,10.32,10.33,1655930,1719562862.03
2024-03-05,000001,AKShare/东方财富,none,10.3,10.47,10.26,10.43,1817319,1889144330.16
2024-03-06,000001,AKShare/东方财富,none,10.4,10.45,10.33,10.33,1345640,1396940060.42
2024-03-07,000001,AKShare/东方财富,none,10.33,10.64,10.33,10.38,2016166,2109589237.19
2024-03-08,000001,AKShare/东方财富,none,10.35,10.44,10.3,10.38,1113974,1154491251.23
2024-03-11,000001,AKShare/东方财富,none,10.38,10.47,10.34,10.47,1210673,1260212019.66
2024-03-12,000001,AKShare/东方财富,none,10.48,10.59,10.41,10.56,1641262,1721999708.11
2024-03-13,000001,AKShare/东方财富,none,10.53,10.55,10.3,10.33,1768039,1834654994.4
2024-03-14,000001,AKShare/东方财富,none,10.3,10.38,10.2,10.23,1409400,1448499697.91
2024-03-15,000001,AKShare/东方财富,none,10.55,10.75,10.5,10.6,3750208,3973799130.9
2024-03-18,000001,AKShare/东方财富,none,10.56,10.61,10.49,10.54,1671397,1761249149.98
2024-03-19,000001,AKShare/东方财富,none,10.53,10.54,10.39,10.4,1293216,1351069630.23
2024-03-20,000001,AKShare/东方财富,none,10.38,10.47,10.37,10.45,872663,910278572.98
2024-03-21,000001,AKShare/东方财富,none,10.45,10.52,10.42,10.47,864466,905422293.67
2024-03-22,000001,AKShare/东方财富,none,10.45,10.45,10.31,10.36,1028142,1065535606.11
2024-03-25,000001,AKShare/东方财富,none,10.35,10.49,10.32,10.4,953202,993304120.45
2024-03-26,000001,AKShare/东方财富,none,10.45,10.66,10.42,10.6,1740021,1835376190.72
2024-03-27,000001,AKShare/东方财富,none,10.56,10.63,10.51,10.53,1274136,1347397150.36
2024-03-28,000001,AKShare/东方财富,none,10.51,10.57,10.38,10.49,1302189,1362980388.48
2024-03-29,000001,AKShare/东方财富,none,10.45,10.57,10.43,10.52,872759,917332315.96
