date,code,close
2026-08-03,DEMO,10.00
2026-08-04,DEMO,10.10
2026-08-05,DEMO,10.20
2026-08-06,DEMO,10.30
2026-08-07,DEMO,10.40
2026-08-10,DEMO,10.50
2026-08-11,DEMO,10.60
2026-08-12,DEMO,10.70
2026-08-13,DEMO,10.80
2026-08-14,DEMO,10.90
2026-08-17,DEMO,11.00
2026-08-18,DEMO,11.10
2026-08-19,DEMO,11.20
2026-08-20,DEMO,11.30
2026-08-21,DEMO,11.40
2026-08-24,DEMO,11.50
2026-08-25,DEMO,11.60
2026-08-26,DEMO,11.70
2026-08-27,DEMO,11.80
2026-08-28,DEMO,11.90
2026-08-31,DEMO,12.00
2026-09-01,DEMO,12.10
2026-09-02,DEMO,12.20
2026-09-03,DEMO,12.30
2026-09-04,DEMO,12.40
